"date","hasGoal","hasRevenue","sessionCount","sessions__duration","sessions__deviceCategory","sessions__channel","sessions__activitySummary__PAGEVIEW","sessions__activities__time","sessions__activities__type","sessions__activities__details__Page title__-","sessions__activities__details__Page URL__-","sessions__activities__pageTitle"
"","","","","","","","","10:36 PM","PAGEVIEW","Nikon","/nikon","Nikon"
"","","","","","","","","10:36 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","10:36 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","10:34 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
"","","","","","","","","10:34 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:33 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:32 PM","PAGEVIEW","Nikon","/nikon","Nikon"
"","","","","","","","","10:32 PM","PAGEVIEW","Contact","/contact.html","Contact"
"","","","","","","","","10:32 PM","PAGEVIEW","Other Accessories","/accessories","Other Accessories"
"","","","","","","","","10:32 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:32 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:31 PM","PAGEVIEW","Contact","/contact.html","Contact"
"","","","","","","","","10:31 PM","PAGEVIEW","Fujifilm","/fujifilm","Fujifilm"
"","","","","","","","","10:31 PM","PAGEVIEW","Canon","/canon","Canon"
"","","","","","","","","10:30 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","","","","","10:29 PM","PAGEVIEW","theKameraStore","/index.html","theKameraStore"
"","","","","00:09","desktop","Direct","2","10:28 PM","PAGEVIEW","Brand","/brand","Brand"
"","","","","","","","","10:28 PM","PAGEVIEW","theKameraStore","/","theKameraStore"
